Action,Time,ISIN,Ticker,Name,No. of shares,Price / share,Currency (Price / share),Exchange rate,Result,Currency (Result),Total,Currency (Total),ID,Currency conversion fee,Currency (Currency conversion fee)
Market sell,2024-05-02 16:16:14.8,US1667641005,CVX,"Chevron",1.7130000000,160.74,USD,1.07047,11.81,"EUR",256.83,"EUR",EOF13901465458,0.39,"EUR"
Market sell,2024-05-02 16:16:15.396,US1667641005,CVX,"Chevron",0.2870000000,160.73,USD,1.07053,1.97,"EUR",43.03,"EUR",EOF13901465486,0.06,"EUR"
Market buy,2024-05-02 16:16:49.735,US57667L1070,MTCH,"Match Group",7.0000000000,31.30,USD,1.07034,,"EUR",205.01,"EUR",EOF13901465625,0.31,"EUR"
Market buy,2024-05-02 16:17:20.055,US8552441094,SBUX,"Starbucks",2.0000000000,74.34,USD,1.07033,,"EUR",139.12,"EUR",EOF13901465699,0.21,"EUR"
Market buy,2024-05-02 16:18:02.477,US9344231041,WBD,"Warner Bros Discovery",10.0000000000,7.70,USD,1.07033,,"EUR",72.05,"EUR",EOF13901465880,0.11,"EUR"
Market buy,2024-05-02 16:18:36.445,US9344231041,WBD,"Warner Bros Discovery",10.0000000000,7.70,USD,1.07018,,"EUR",72.06,"EUR",EOF13901466019,0.11,"EUR"
Market buy,2024-05-02 16:51:54.933,US5398301094,LMT,"Lockheed Martin",0.4000000000,460.34,USD,1.07192,,"EUR",172.04,"EUR",EOF13901469777,0.26,"EUR"
Market buy,2024-05-06 13:30:02.591,US30303M1027,META,"Meta Platforms",0.0356552000,456.02,USD,1.07821,,"EUR",15.10,"EUR",EOF13952869311,0.02,"EUR"
Market buy,2024-05-16 16:26:50.083,US9344231041,WBD,"Warner Bros Discovery",19.0000000000,8.14,USD,1.08739,,"EUR",142.44,"EUR",EOF14551613032,0.21,"EUR"
Market buy,2024-05-16 16:26:54.24,US5398301094,LMT,"Lockheed Martin",0.3400000000,466.29,USD,1.08744,,"EUR",146.01,"EUR",EOF14551613038,0.22,"EUR"
Market buy,2024-05-16 16:27:24.666,US9344231041,WBD,"Warner Bros Discovery",2.6226700000,8.14,USD,1.08754,,"EUR",19.66,"EUR",EOF14551613189,0.03,"EUR"
Market buy,2024-06-03 13:30:08.819,US5398301094,LMT,"Lockheed Martin",0.2320286000,467.00,USD,1.08520,,"EUR",100.00,"EUR",EOF15451679461,0.15,"EUR"
Market buy,2024-06-03 13:30:10.463,US4781601046,JNJ,"Johnson & Johnson",0.0170308000,147.36,USD,1.08643,,"EUR",2.31,"EUR",EOF15451682819,,
Market buy,2024-06-03 13:30:14.455,US4781601046,JNJ,"Johnson & Johnson",1.0653597000,146.90,USD,1.08523,,"EUR",144.43,"EUR",EOF15451689721,0.22,"EUR"